model,alpha_cf,alpha_content,K,n_evaluated,negatives,normalized_scores,HitRate@10,Precision@10,MRR@10,NDCG@10
Hybrid,1.0,0.0,10,5000,100,True,0.388,0.388,0.20021666666666665,0.24452922203832153
Hybrid,0.9,0.09999999999999998,10,5000,100,True,0.3862,0.3862,0.2014065873015873,0.24504972565767838
Hybrid,0.8,0.19999999999999996,10,5000,100,True,0.3854,0.3854,0.2000422222222222,0.24383644054229417
Hybrid,0.7,0.30000000000000004,10,5000,100,True,0.3748,0.3748,0.19721444444444447,0.23916299884267792
Hybrid,0.6,0.4,10,5000,100,True,0.3578,0.3578,0.19154373015873016,0.23078472442582879
Hybrid,0.5,0.5,10,5000,100,True,0.3368,0.3368,0.1809063492063492,0.2176216092955424
Hybrid,0.4,0.6,10,5000,100,True,0.3102,0.3102,0.16368801587301587,0.1980686477235054
Hybrid,0.3,0.7,10,5000,100,True,0.2804,0.2804,0.13886944444444443,0.17182044625369422
Hybrid,0.2,0.8,10,5000,100,True,0.2442,0.2442,0.11155904761904763,0.14239900933824004
Hybrid,0.1,0.9,10,5000,100,True,0.2128,0.2128,0.08647888888888888,0.1156736497777311
Hybrid,0.0,1.0,10,5000,100,True,0.1846,0.1846,0.06633206349206348,0.0936286248006485
