item_idx,item_rating_count,item_mean_rating,item_bias
0,12,4.0833335,-0.21012354
1,6,3.3333333,-0.9601238
2,5,4.6,0.30654287
3,7,4.571429,0.27797174
4,28,4.357143,0.063685894
5,283,4.5123677,0.2189107
6,10,4.9,0.60654306
7,57,3.8070176,-0.48643947
8,5,4.8,0.50654316
9,32,3.59375,-0.69970703
10,91,3.9780219,-0.31543517
11,42,4.0,-0.29345703
12,29,4.3103447,0.016887665
13,8,3.125,-1.168457
14,10,4.9,0.60654306
15,2,4.5,0.20654297
16,4,5.0,0.70654297
17,23,4.9130435,0.61958647
18,5,3.2,-1.093457
19,5,3.6,-0.6934571
20,5,5.0,0.70654297
21,22,4.818182,0.52472496
22,5,4.6,0.30654287
23,8,4.375,0.08154297
24,9,4.888889,0.5954318
25,5,3.8,-0.49345708
26,3,2.6666667,-1.6267903
27,23,3.3913043,-0.9021528
28,7,4.285714,-0.007742882
29,147,3.7891157,-0.50434136
30,36,3.7222223,-0.5712347
31,10,3.2,-1.093457
32,11,5.0,0.70654297
33,6,4.8333335,0.53987646
34,5,4.4,0.106543064
35,15,3.7333333,-0.5601237
36,5,4.6,0.30654287
37,13,3.8461537,-0.4473033
38,8,4.5,0.20654297
39,42,4.7619047,0.4684477
40,15,4.6,0.30654287
41,5,4.2,-0.09345722
42,7,4.571429,0.27797174
43,3,5.0,0.70654297
44,5,5.0,0.70654297
45,10,4.5,0.20654297
46,6,3.8333333,-0.46012378
47,3,5.0,0.70654297
48,22,4.409091,0.115633965
49,8,4.5,0.20654297
50,5,4.8,0.50654316
51,28,4.821429,0.52797174
52,118,4.6355934,0.34213638
53,24,3.875,-0.41845703
54,8,4.25,-0.04345703
55,26,4.8076925,0.5142355
56,23,4.826087,0.53262997
57,6,4.8333335,0.53987646
58,9,4.888889,0.5954318
59,27,4.0740743,-0.21938276
60,4,4.75,0.45654297
61,9,4.0,-0.29345703
62,9,4.888889,0.5954318
63,7,4.428571,0.1351142
64,14,4.071429,-0.22202826
65,49,4.2244897,-0.06896734
66,65,4.1076922,-0.18576479
67,8,4.375,0.08154297
68,15,4.2,-0.09345722
69,21,3.7619047,-0.5315523
70,7,2.4285715,-1.8648856
71,10,4.0,-0.29345703
72,13,4.4615383,0.16808128
73,5,4.4,0.106543064
74,125,4.064,-0.2294569
75,7,4.714286,0.42082882
76,51,4.509804,0.21634674
77,8,4.0,-0.29345703
78,22,4.2727275,-0.020729542
79,13,4.6153846,0.32192755
80,6,3.6666667,-0.6267903
81,4,3.25,-1.043457
82,8,4.125,-0.16845703
83,62,4.629032,0.3355751
84,16,2.5,-1.793457
85,9,2.0,-2.293457
86,14,3.0714285,-1.2220285
87,17,3.0,-1.293457
88,7,2.7142856,-1.5791714
89,8,4.125,-0.16845703
90,20,5.0,0.70654297
91,11,2.909091,-1.384366
92,27,2.851852,-1.4416051
93,35,4.6285715,0.33511448
94,75,4.4266667,0.1332097
95,12,4.0,-0.29345703
96,38,4.6842103,0.39075327
97,9,3.0,-1.293457
98,5,3.2,-1.093457
99,46,4.195652,-0.09780502
100,69,4.304348,0.010890961
101,94,4.319149,0.025691986
102,5,3.6,-0.6934571
103,34,4.7352943,0.4418373
104,47,4.7234044,0.42994738
105,73,3.7123287,-0.58112836
106,287,4.5156794,0.22222233
107,11,4.5454545,0.25199747
108,6,4.8333335,0.53987646
109,6,4.8333335,0.53987646
110,6,5.0,0.70654297
111,7,5.0,0.70654297
112,28,4.821429,0.52797174
113,279,4.6810036,0.38754654
114,19,4.894737,0.60127974
115,12,4.9166665,0.6232095
116,2,4.0,-0.29345703
